ROME_Code,Nom,Adresse,Potentiel_d_embauche,Postal_Code
M1403,CENTRE EUROPEEN DE FORMATION,"Service des ressources humaines, 19 RUE NICOLAS APPERT, 59650 VILLENEUVE-D-ASCQ",3.8,59650
M1403,PENELOPE L'AGENCE,"Service des ressources humaines, 39 BOULEVARD VAUBAN, 78280 GUYANCOURT",3.9,78280
M1403,VIAFIELD,"16 RUE DE MALZEVILLE, 54130 DOMMARTEMONT",3.9,54130
M1403,AKSIS PROFIL EMPLOI PROFILEMPLOI,"18 RUE CHARLES PICARD, 02100 SAINT-QUENTIN",4.1,02100
M1403,AXA ASSISTANCE FRANCE,"Service des ressources humaines, 6 RUE ANDRE GIDE, 92320 CHATILLON",3.6,92320
M1403,PROCHEQUE NORD,"Service des ressources humaines, 137 RUE DU FONTENOY, 59100 ROUBAIX",4.4,59100
M1403,CAPGEMINI TECHNOLOGY SERVICES,"7 AVENUE MARIE LOUISE DELWAULLE, 59160 LILLE",3.5,59160
M1403,REGLE DE TROIS INSTITUT,"Service des ressources humaines, 2B RUE PRINCESSE, 59800 LILLE",3.9,59800
M1403,SA TEST,"Service des ressources humaines, 7 RUE JEAN MERMOZ, 78000 VERSAILLES",4.5,78000
M1403,OPTEVEN,"Service des ressources humaines, 10 RUE OLYMPE DE GOUGES, 69100 VILLEURBANNE",3.6,69100
M1403,SOPRA STERIA GROUP,"Service des ressources humaines, 5 PLACE DE L IRIS, 92400 COURBEVOIE",3.5,92400
G1302,KARAVEL,"Service des ressources humaines, 17 RUE DE L ECHIQUIER, 75010 PARIS-10",3.1,75010
G1302,GRAND MASSIF SAMOENS MORILLON,"Service des ressources humaines,  PLATEAU DES SAIX, 74340 SAMOENS",2.7,74340
G1302,CLUB MED,"Service des ressources humaines,  HAMEAU DU BOIS DE LA CROIX, 73260 LES-AVANCHERS-VALMOREL",2.7,73260
G1302,CLUB MED LA ROSIERE,"1400 ROUTE DU GOLF, 73700 MONTVALEZAN",3.1,73700
G1302,CLUB MEDITERRANEE SA," ALLEE DU GRAND LARGE, 17570 LES-MATHES",3.1,17570
G1302,CLUB MEDITERRANE LA SARENNE,"Service des ressources humaines,  DE L HELIPORT, 38750 HUEZ",2.5,38750
G1302,CLUB MED," LES ARCS 1600, 73700 BOURG-SAINT-MAURICE",3.1,73700
G1302,SA HOTEL CHATEAU DE LA MESSARDIERE," CHEMIN DE LA BELLE ISNARDE, 83990 SAINT-TROPEZ",2.5,83990
G1302,CLUB MED VOYAGES,"Service des ressources humaines, 11 RUE DE CAMBRAI, 75019 PARIS-19",2.5,75019
G1302,HOTEL BYBLOS,"Service des ressources humaines,  AVENUE PAUL SIGNAC, 83990 SAINT-TROPEZ",2.5,83990
G1302,VOYAGE PRIVE,"330 RUE PASCAL DUVERGER, 13090 AIX-EN-PROVENCE",2.5,13090
G1302,TUI,"28 RUE JACQUES IBERT, 92300 LEVALLOIS-PERRET",3.1,92300
G1302,FRAM,"13 RUE ANTOINE DEVILLE, 31000 TOULOUSE",2.5,31000
G1302,CHEVAL BLANC ST-TROPEZ," QUARTIER DE LA BOUILLABAISSE, 83990 SAINT-TROPEZ",2.5,83990
G1302,CE EVASION,"12 RUE DE LA CHAUSSEE D ANTIN, 75009 PARIS-09",2.5,75009
G1302,CLUB MED,"Service des ressources humaines,  AVENUE BOULOUMIE, 88800 VITTEL",2.7,88800
G1302,CLUB MEDITERRANNÉE,"Service des ressources humaines,  SERRE CHEVALIER, 05240 LA-SALLE-LES-ALPES",2.5,05240
M1801,MANPOWER (EUROPE),"118 BOULEVARD DE L EUROPE, 76100 ROUEN",2.5,76100
M1801,CAPGEMINI TECHNOLOGY SERVICES,"145 QUAI DU PRESIDENT ROOSEVELT, 92130 ISSY-LES-MOULINEAUX",4.6,92130
M1801,CAPGEMINI TECHNOLOGY SERVICES,"7 AVENUE MARIE LOUISE DELWAULLE, 59160 LILLE",4.5,59160
M1801,SOMAINTEL,"Service des ressources humaines,  IMPASSE DES CRINS, 81990 LE-SEQUESTRE",4.4,81990
M1801,SOPRA STERIA GROUP,"Service des ressources humaines, 5 PLACE DE L IRIS, 92400 COURBEVOIE",4.5,92400
M1801,ADAMING SERVICES,"Service des ressources humaines, 2 RUE HEGEL, 59160 LILLE",4.2,59160
M1801,INFODIS IT,"Service des ressources humaines, 165 AV DU BOIS DE LA PIE, 95700 ROISSY-EN-FRANCE",4.5,95700
M1801,EXPERIS FRANCE,"Service des ressources humaines, 22 RUE HERGE, 59650 VILLENEUVE-D-ASCQ",4.4,59650
